FASST（フタバ）,,,,
T-FHSS（フタバ）,,,,
S-FHSS（フタバ）,,,,
FHSS（フタバ）,,,,
FH4（サンワ）,,,,
FH3（サンワ）,,,,
DSSS（サンワ）,,,,
Dual FHSS（KO）,,,,
Single FHSS（KO）,,,,
DSSS（KO）,,,,
LYNX,,,,
JR,,,,
その他,,,,
