maker_name,official_url,created_at,updated_at,user_id,supply_kit,supply_motor,supply_esc,supply_servo,supply_recevier
京商,http://rc.kyosho.com/,,,1,1,1,1,1,1
ヨコモ,https://teamyokomo.com/,,,1,1,1,1,1,1
タミヤ,http://www.tamiya.com/japan/index.html,,,1,1,1,1,1,1
フタバ,http://www.rc.futaba.co.jp/,,,1,,,1,1,1
サンワ,http://www.sanwa-denshi.co.jp/rc/car/,,,1,,,1,1,1
